2016/11/17 15:42:14 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Loading user properties from: C:\Users\eqruuwq\.bzt\jmeter-taurus\bin\user.properties 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Loading system properties from: C:\Users\eqruuwq\.bzt\jmeter-taurus\bin\system.properties 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Setting System properties from file: C:\Program Files\Taurus\bin\2016-11-17_15-42-04.296000\system.properties 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Version 3.0 r1743807 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: java.version=1.8.0_101 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: os.name=Windows 7 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: os.arch=amd64 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: os.version=6.1 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Max memory     =523763712 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Available Processors =4 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: JMeterHome=C:\Users\eqruuwq\.bzt\jmeter-taurus 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: user.dir  =C:\Program Files\Taurus\bin 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: PWD       =C:\Program Files\Taurus\bin 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: IP: 169.144.86.25 Name: R90BWA9C FullName: R90BWA9C.ericsson.se 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: user.classpath=C:/Program Files/Taurus/bin/2016-11-17_15-42-04.296000 
2016/11/17 15:42:17 INFO  - jmeter.JMeter: Adding to classpath and loader: C:/Program Files/Taurus/bin/2016-11-17_15-42-04.296000 
2016/11/17 15:42:17 INFO  - jmeter.services.FileServer: Default base='C:\Program Files\Taurus\bin' 
2016/11/17 15:42:17 INFO  - jmeter.services.FileServer: Set new base='C:\Program Files\Taurus\bin\2016-11-17_15-42-04.296000' 
2016/11/17 15:42:18 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2016/11/17 15:42:18 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2016/11/17 15:42:18 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.9 
2016/11/17 15:42:18 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2016/11/17 15:42:18 INFO  - jmeter.save.SaveService: Loading file: C:\Program Files\Taurus\bin\2016-11-17_15-42-04.296000\modified_requests.jmx 
2016/11/17 15:42:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/11/17 15:42:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/11/17 15:42:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/11/17 15:42:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/11/17 15:42:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/11/17 15:42:19 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2016/11/17 15:42:19 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/11/17 15:42:19 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/11/17 15:42:19 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/11/17 15:42:19 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/11/17 15:42:19 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/11/17 15:42:19 INFO  - jmeter.JMeter: Running test (1479377539572) 
2016/11/17 15:42:19 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : ThreadGroup 
2016/11/17 15:42:19 INFO  - jmeter.engine.StandardJMeterEngine: Starting 20 threads for group ThreadGroup. 
2016/11/17 15:42:19 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/11/17 15:42:19 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 20 ramp-up 3 perThread 150.0 delayedStart=false 
